artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin,cluster
Nina Simone,Feeling Good,61S0mEfdRtJ62Fc7fPqx0U,0.39899999999999997,0.326,7,-9.238999999999999,0,0.0386,0.8640000000000001,0.0,0.191,0.546,79.206,174000,4,0.0,4
Mike Candys,Sunshine (Fly So High) - 2012 Radio Mix,3lEL5rTa86urrKRRunT6Lr,0.653,0.953,5,-4.3069999999999995,0,0.11199999999999999,0.12,0.0139,0.13699999999999998,0.46,129.055,167398,4,0.0,3
Cascada,Glorious - Video Edit,7MLSUbB20MvCmqDgL2gCco,0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.311,0.319,127.98299999999999,207600,4,0.0,3
Loona,Vamos a la Playa - Radio Edit,0ELV9UkTP2505QXAsoM0iI,0.7,0.9590000000000001,9,-4.4830000000000005,1,0.0499,0.10300000000000001,0.0,0.40399999999999997,0.877,131.005,177939,4,0.0,1
INNA,More Than Friends (feat. Daddy Yankee),3eqeE039Sa2bOSQl06F3nf,0.799,0.787,11,-5.02,1,0.0489,0.0241,0.00053,0.409,0.9620000000000001,128.033,237800,4,0.0,1
DJ Antoine,Welcome To St. Tropez - DJ Antoine vs Mad Mark Radio Edit,3itAdIDLIwKskzx3bRIKrx,0.77,0.7709999999999999,0,-4.794,0,0.133,0.00673,0.0,0.32299999999999995,0.703,124.994,194583,4,0.0,3
Sunstroke Project,Hey Mamma - Radio Edit,59JayqW5h9kyhLEcCTwPRX,0.833,0.8059999999999999,10,-5.946000000000001,0,0.113,0.231,0.00944,0.0681,0.64,110.098,179625,4,0.0,3
Gary Jules,Mad World (Feat. Michael Andrews),3JOVTQ5h8HGFnDdp4VT3MP,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.10300000000000001,0.304,174.11700000000002,189507,4,0.0,4
Artsvik,Fly With Me,1PbsliSdEPxPRqtsrKFzOR,0.579,0.8029999999999999,4,-4.893,0,0.14800000000000002,0.79,0.0582,0.0813,0.396,180.03,179134,4,0.0,2
The Rapture,Echoes,5OW1Zo95O1j4gJYk7Lafbk,0.603,0.946,8,-3.3689999999999998,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,186520,4,0.0,3
Hozier,Arsonist's Lullabye,6Rcl83L6fCXbdJPSG5HAQh,0.409,0.41700000000000004,6,-9.038,0,0.0356,0.588,0.0627,0.124,0.18600000000000003,130.112,266613,4,0.0,4
Hozier,Work Song,4Vc3bzFxXdrABa2DxgyCMT,0.531,0.359,10,-7.672000000000001,1,0.0619,0.7490000000000001,0.0,0.11199999999999999,0.254,121.249,229720,4,0.0,4
Alexander Rybak,Fairytale,37lYrZzmbRiEySPGkiGjXA,0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.00299999999999,182600,4,0.0,3
Pápai Joci,Origo,58erMXiJBLy1URLSXguVNw,0.596,0.733,9,-6.513,0,0.15,0.479,0.0,0.29,0.375,107.86200000000001,203889,4,0.0,3
ICEHOUSE,Great Southern Land,2qUjP7g8WY3fzBCNTELwjy,0.7170000000000001,0.8370000000000001,9,-5.641,1,0.0278,0.244,0.000145,0.067,0.46799999999999997,120.14200000000001,317200,4,0.0,1
Crowded House,Four Seasons In One Day,6ytBxmixhkR4PZ5wNS57dD,0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,167657,4,0.0,4
Eurythmics,The Walk - Remastered Version,67xHrhdRPmr0iwt9oX6RVk,0.575,0.6920000000000001,8,-6.624,0,0.0571,0.0322,9.16e-06,0.11199999999999999,0.27699999999999997,125.191,283267,4,0.0,3
The Human League,Human - Edit,7qm1JpihtROAIU1XpvqYHS,0.636,0.5589999999999999,8,-10.312999999999999,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4,228867,4,0.0,1
PNAU,Chameleon,4rex1k9pBVFaIVKBBssZzi,0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.98899999999999,198021,4,0.0,1
Regina Spektor,You've Got Time,1vDMGBzqLJWZC5UzePDURw,0.321,0.955,10,-2.7489999999999997,0,0.146,0.00464,0.00897,0.26899999999999996,0.331,167.467,189480,4,0.0,2
Eurythmics,Love Is A Stranger - Remastered Version,2jItmTTkIL6SkvABXsTaYT,0.7809999999999999,0.648,5,-8.216000000000001,1,0.0264,0.00761,0.0,0.132,0.546,121.93,224773,4,0.0,1
My Chemical Romance,SING,1mX6SYJ1ZpcoxQUiER8wOI,0.606,0.9420000000000001,2,-3.6180000000000003,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,270387,4,0.0,1
